year,sex,profession,income,age,net_worth,happiness
0,M,child,0.00,1,10000.00,100.00
0,M,unemployed,255.10,55,10000.00,100.00
0,F,child,0.00,11,10000.00,100.00
0,F,child,0.00,13,10000.00,100.00
0,M,homemaker,246.89,51,10000.00,100.00
0,M,service provider,3123.43,22,10000.00,100.00
0,M,homemaker,278.68,57,10000.00,100.00
0,X,homemaker,218.03,45,10000.00,100.00
0,F,child,0.00,17,10000.00,100.00
0,X,child,0.00,0,10000.00,100.00
0,F,fisher,3087.98,61,10000.00,100.00
0,M,child,0.00,5,10000.00,100.00
0,F,unemployed,229.95,46,10000.00,100.00
0,F,civil servant,3990.84,31,10000.00,100.00
0,F,craftsman,5050.23,49,10000.00,100.00
0,M,civil servant,5699.37,44,10000.00,100.00
0,F,craftsman,4103.65,41,10000.00,100.00
0,M,homemaker,158.16,31,10000.00,100.00
0,M,homemaker,244.32,51,10000.00,100.00
0,M,child,0.00,6,10000.00,100.00
0,F,child,0.00,14,10000.00,100.00
0,F,civil servant,5498.12,44,10000.00,100.00
0,M,fisher,1164.42,19,10000.00,100.00
0,F,unemployed,178.10,37,10000.00,100.00
0,M,craftsman,3070.34,30,10000.00,100.00
0,F,unemployed,168.71,34,10000.00,100.00
0,F,fisher,1525.66,27,10000.00,100.00
0,M,farmer,2561.32,48,10000.00,100.00
0,F,farmer,1206.03,21,10000.00,100.00
0,F,farmer,2246.46,45,10000.00,100.00
0,M,child,0.00,17,10000.00,100.00
0,F,child,0.00,16,10000.00,100.00
0,F,child,0.00,7,10000.00,100.00
0,F,child,0.00,12,10000.00,100.00
0,F,child,0.00,7,10000.00,100.00
0,M,farmer,1760.69,34,10000.00,100.00
0,M,homemaker,227.24,49,10000.00,100.00
0,M,child,0.00,12,10000.00,100.00
0,F,child,0.00,14,10000.00,100.00
0,F,farmer,1738.15,31,10000.00,100.00
0,F,unemployed,224.40,47,10000.00,100.00
0,M,homemaker,292.42,63,10000.00,100.00
0,M,homemaker,173.52,34,10000.00,100.00
0,F,fisher,1072.23,18,10000.00,100.00
0,F,child,0.00,6,10000.00,100.00
0,M,child,0.00,12,10000.00,100.00
0,F,child,0.00,14,10000.00,100.00
0,M,child,0.00,11,10000.00,100.00
0,F,child,0.00,0,10000.00,100.00
0,F,civil servant,4302.98,34,10000.00,100.00
0,M,child,0.00,17,10000.00,100.00
0,M,service provider,7408.69,63,10000.00,100.00
0,F,fisher,1978.67,35,10000.00,100.00
0,M,farmer,2417.02,45,10000.00,100.00
0,F,child,0.00,8,10000.00,100.00
0,M,service provider,6540.82,56,10000.00,100.00
0,M,service provider,4163.27,31,10000.00,100.00
0,F,farmer,2855.48,56,10000.00,100.00
0,F,unemployed,185.66,37,10000.00,100.00
0,M,fisher,1725.47,30,10000.00,100.00
0,M,civil servant,3526.86,28,10000.00,100.00
0,X,child,0.00,11,10000.00,100.00
0,F,child,0.00,3,10000.00,100.00
0,M,homemaker,274.66,61,10000.00,100.00
0,F,civil servant,3877.13,31,10000.00,100.00
0,M,homemaker,237.33,53,10000.00,100.00
0,M,service provider,3519.19,26,10000.00,100.00
0,M,child,0.00,4,10000.00,100.00
0,F,homemaker,197.55,40,10000.00,100.00
0,M,child,0.00,3,10000.00,100.00
0,M,child,0.00,9,10000.00,100.00
0,M,fisher,1854.88,36,10000.00,100.00
0,F,fisher,1174.39,19,10000.00,100.00
0,M,civil servant,7614.21,64,10000.00,100.00
0,F,child,0.00,7,10000.00,100.00
0,F,service provider,5869.60,49,10000.00,100.00
0,M,civil servant,4784.20,39,10000.00,100.00
0,M,homemaker,249.17,51,10000.00,100.00
0,F,child,0.00,14,10000.00,100.00
0,M,craftsman,3287.82,33,10000.00,100.00
0,M,civil servant,3818.51,29,10000.00,100.00
0,F,craftsman,2930.53,28,10000.00,100.00
0,F,civil servant,6904.99,55,10000.00,100.00
0,M,fisher,3328.51,64,10000.00,100.00
0,F,unemployed,102.37,19,10000.00,100.00
0,F,craftsman,4105.77,40,10000.00,100.00
0,M,homemaker,192.63,39,10000.00,100.00
0,M,civil servant,5813.00,48,10000.00,100.00
0,M,farmer,3051.06,61,10000.00,100.00
0,M,child,0.00,13,10000.00,100.00
0,M,child,0.00,13,10000.00,100.00
0,F,fisher,2144.09,42,10000.00,100.00
0,F,child,0.00,10,10000.00,100.00
0,X,child,0.00,11,10000.00,100.00
0,M,child,0.00,4,10000.00,100.00
0,M,child,0.00,0,10000.00,100.00
0,M,fisher,1640.77,29,10000.00,100.00
0,F,craftsman,3778.80,38,10000.00,100.00
0,M,craftsman,2058.11,18,10000.00,100.00
0,M,child,0.00,15,10000.00,100.00
0,M,farmer,2260.05,45,10000.00,100.00
0,M,civil servant,5837.83,45,10000.00,100.00
0,M,farmer,1676.21,29,10000.00,100.00
0,M,homemaker,219.31,44,10000.00,100.00
0,F,homemaker,282.24,60,10000.00,100.00
0,M,homemaker,238.68,51,10000.00,100.00
0,F,unemployed,193.53,40,10000.00,100.00
0,F,farmer,2328.41,42,10000.00,100.00
0,M,craftsman,6111.66,60,10000.00,100.00
0,X,service provider,3657.36,27,10000.00,100.00
0,F,farmer,1949.93,35,10000.00,100.00
0,X,craftsman,4167.74,42,10000.00,100.00
0,F,fisher,2993.89,59,10000.00,100.00
0,F,farmer,2642.24,53,10000.00,100.00
0,M,child,0.00,4,10000.00,100.00
0,F,child,0.00,10,10000.00,100.00
0,M,fisher,1132.64,19,10000.00,100.00
0,M,fisher,2567.97,48,10000.00,100.00
0,M,farmer,1937.41,36,10000.00,100.00
0,M,civil servant,2690.83,18,10000.00,100.00
0,X,child,0.00,8,10000.00,100.00
0,M,fisher,2270.85,44,10000.00,100.00
0,F,homemaker,219.35,45,10000.00,100.00
0,M,farmer,3207.95,61,10000.00,100.00
0,M,farmer,1828.12,32,10000.00,100.00
0,F,service provider,4174.82,32,10000.00,100.00
0,X,child,0.00,5,10000.00,100.00
0,F,child,0.00,2,10000.00,100.00
0,F,farmer,1641.44,28,10000.00,100.00
0,M,homemaker,109.13,20,10000.00,100.00
0,M,child,0.00,16,10000.00,100.00
0,X,child,0.00,5,10000.00,100.00
0,F,craftsman,5811.20,62,10000.00,100.00
0,F,service provider,6413.70,54,10000.00,100.00
0,F,craftsman,3685.20,37,10000.00,100.00
0,M,craftsman,6029.73,61,10000.00,100.00
0,F,fisher,3390.55,64,10000.00,100.00
0,F,unemployed,213.55,43,10000.00,100.00
0,F,child,0.00,17,10000.00,100.00
0,M,child,0.00,2,10000.00,100.00
0,X,service provider,5784.05,49,10000.00,100.00
0,M,unemployed,154.46,30,10000.00,100.00
0,M,farmer,2154.59,42,10000.00,100.00
0,F,farmer,2949.24,59,10000.00,100.00
0,F,child,0.00,11,10000.00,100.00
0,M,fisher,2071.53,38,10000.00,100.00
0,M,craftsman,4198.09,41,10000.00,100.00
0,F,homemaker,161.12,31,10000.00,100.00
0,M,child,0.00,5,10000.00,100.00
0,F,civil servant,2947.68,22,10000.00,100.00
0,F,craftsman,2430.06,21,10000.00,100.00
0,M,service provider,5486.32,43,10000.00,100.00
0,F,homemaker,258.96,55,10000.00,100.00
0,F,craftsman,2363.21,21,10000.00,100.00
0,F,homemaker,222.83,45,10000.00,100.00
0,M,homemaker,98.33,18,10000.00,100.00
0,F,homemaker,295.91,61,10000.00,100.00
0,M,farmer,2561.04,52,10000.00,100.00
0,M,craftsman,3777.36,35,10000.00,100.00
0,F,service provider,3993.40,29,10000.00,100.00
0,M,farmer,1147.94,20,10000.00,100.00
0,M,service provider,3078.39,21,10000.00,100.00
0,F,fisher,3199.62,63,10000.00,100.00
0,M,service provider,3395.40,26,10000.00,100.00
0,M,homemaker,165.54,33,10000.00,100.00
0,X,craftsman,6027.12,64,10000.00,100.00
0,X,unemployed,210.52,42,10000.00,100.00
0,M,civil servant,4504.19,35,10000.00,100.00
0,M,farmer,1515.09,26,10000.00,100.00
0,M,child,0.00,12,10000.00,100.00
0,F,unemployed,119.83,23,10000.00,100.00
0,F,farmer,2559.65,49,10000.00,100.00
0,F,homemaker,190.89,40,10000.00,100.00
0,M,farmer,2490.24,49,10000.00,100.00
0,M,child,0.00,13,10000.00,100.00
0,F,unemployed,172.56,35,10000.00,100.00
0,F,homemaker,278.65,60,10000.00,100.00
0,F,farmer,1505.14,28,10000.00,100.00
0,X,service provider,5856.16,45,10000.00,100.00
0,F,child,0.00,7,10000.00,100.00
0,M,service provider,7555.60,63,10000.00,100.00
0,F,fisher,2153.74,39,10000.00,100.00
0,M,child,0.00,15,10000.00,100.00
0,F,child,0.00,10,10000.00,100.00
0,F,farmer,1974.29,35,10000.00,100.00
0,M,farmer,1871.23,35,10000.00,100.00
0,M,child,0.00,6,10000.00,100.00
0,M,craftsman,6157.18,64,10000.00,100.00
0,F,craftsman,5799.87,59,10000.00,100.00
0,M,civil servant,3710.63,29,10000.00,100.00
0,F,child,0.00,7,10000.00,100.00
0,F,service provider,6349.89,54,10000.00,100.00
0,M,farmer,1713.33,32,10000.00,100.00
0,F,civil servant,5945.59,46,10000.00,100.00
0,M,fisher,1816.39,33,10000.00,100.00
0,F,child,0.00,17,10000.00,100.00
0,F,unemployed,251.10,54,10000.00,100.00
0,F,homemaker,281.36,63,10000.00,100.00
0,M,child,0.00,15,10000.00,100.00
0,M,fisher,1863.49,35,10000.00,100.00
0,M,farmer,1364.26,24,10000.00,100.00
0,M,homemaker,283.62,59,10000.00,100.00
0,F,service provider,4259.28,33,10000.00,100.00
0,F,homemaker,270.07,57,10000.00,100.00
0,M,farmer,2931.94,56,10000.00,100.00
0,F,child,0.00,17,10000.00,100.00
0,F,homemaker,234.59,51,10000.00,100.00
0,M,craftsman,2905.42,26,10000.00,100.00
0,M,civil servant,7584.88,60,10000.00,100.00
0,M,unemployed,166.15,33,10000.00,100.00
0,F,service provider,6466.25,53,10000.00,100.00
0,F,homemaker,96.68,18,10000.00,100.00
0,F,homemaker,107.33,19,10000.00,100.00
0,F,civil servant,4653.59,38,10000.00,100.00
0,F,fisher,3324.86,64,10000.00,100.00
0,M,craftsman,3257.89,31,10000.00,100.00
0,M,child,0.00,9,10000.00,100.00
0,M,unemployed,179.53,35,10000.00,100.00
0,F,homemaker,117.51,22,10000.00,100.00
0,F,homemaker,174.78,35,10000.00,100.00
0,F,service provider,4283.13,35,10000.00,100.00
0,F,homemaker,139.96,29,10000.00,100.00
0,M,service provider,2919.09,20,10000.00,100.00
0,M,child,0.00,12,10000.00,100.00
0,M,farmer,2469.06,45,10000.00,100.00
0,F,civil servant,4781.22,37,10000.00,100.00
0,F,child,0.00,15,10000.00,100.00
0,M,civil servant,6302.74,50,10000.00,100.00
0,F,child,0.00,2,10000.00,100.00
0,M,homemaker,225.67,48,10000.00,100.00
0,F,farmer,2444.80,45,10000.00,100.00
0,F,civil servant,6190.85,52,10000.00,100.00
0,X,fisher,1457.24,25,10000.00,100.00
0,F,unemployed,196.25,43,10000.00,100.00
0,F,fisher,2739.87,53,10000.00,100.00
0,M,fisher,3165.73,63,10000.00,100.00
0,F,farmer,1776.00,32,10000.00,100.00
0,M,child,0.00,2,10000.00,100.00
0,F,fisher,1784.59,32,10000.00,100.00
0,F,civil servant,4868.84,38,10000.00,100.00
0,F,craftsman,5486.51,56,10000.00,100.00
0,F,homemaker,261.38,56,10000.00,100.00
0,M,unemployed,135.52,28,10000.00,100.00
0,F,homemaker,168.95,34,10000.00,100.00
0,M,homemaker,139.64,29,10000.00,100.00
0,F,fisher,2417.73,46,10000.00,100.00
0,F,fisher,1441.25,26,10000.00,100.00
0,M,farmer,2329.57,42,10000.00,100.00
0,F,child,0.00,10,10000.00,100.00
0,M,farmer,1581.47,30,10000.00,100.00
0,M,civil servant,7701.95,62,10000.00,100.00
0,F,service provider,3095.50,22,10000.00,100.00
0,M,farmer,2436.20,45,10000.00,100.00
0,M,farmer,2314.51,42,10000.00,100.00
0,M,unemployed,247.33,55,10000.00,100.00
0,M,craftsman,5188.13,55,10000.00,100.00
0,F,farmer,2732.49,55,10000.00,100.00
0,X,homemaker,121.66,24,10000.00,100.00
0,M,homemaker,108.80,20,10000.00,100.00
0,F,civil servant,5877.48,46,10000.00,100.00
0,M,civil servant,5889.49,49,10000.00,100.00
0,X,civil servant,6734.10,56,10000.00,100.00
0,F,child,0.00,2,10000.00,100.00
0,F,child,0.00,4,10000.00,100.00
0,M,farmer,2148.96,41,10000.00,100.00
0,X,craftsman,5709.67,59,10000.00,100.00
0,M,service provider,7739.34,64,10000.00,100.00
0,X,fisher,2627.02,48,10000.00,100.00
0,M,unemployed,138.65,28,10000.00,100.00
0,M,child,0.00,6,10000.00,100.00
0,M,farmer,2216.65,41,10000.00,100.00
0,F,fisher,2978.86,56,10000.00,100.00
0,M,craftsman,3039.64,28,10000.00,100.00
0,F,homemaker,222.59,45,10000.00,100.00
0,F,farmer,3049.50,58,10000.00,100.00
0,M,child,0.00,2,10000.00,100.00
0,F,farmer,2537.17,51,10000.00,100.00
0,M,unemployed,103.00,19,10000.00,100.00
0,F,homemaker,126.19,24,10000.00,100.00
0,M,child,0.00,9,10000.00,100.00
0,F,craftsman,3373.11,34,10000.00,100.00
0,F,fisher,1847.26,36,10000.00,100.00
0,F,civil servant,6045.64,51,10000.00,100.00
0,F,child,0.00,11,10000.00,100.00
0,F,child,0.00,5,10000.00,100.00
0,M,farmer,2878.68,56,10000.00,100.00
0,M,unemployed,192.34,40,10000.00,100.00
0,F,child,0.00,15,10000.00,100.00
0,M,homemaker,282.27,59,10000.00,100.00
0,M,child,0.00,9,10000.00,100.00
0,F,unemployed,147.78,29,10000.00,100.00
0,F,child,0.00,16,10000.00,100.00
0,M,child,0.00,16,10000.00,100.00
0,M,child,0.00,0,10000.00,100.00
0,M,homemaker,253.44,52,10000.00,100.00
0,M,fisher,2852.07,58,10000.00,100.00
0,M,fisher,2323.55,44,10000.00,100.00
0,M,child,0.00,10,10000.00,100.00
0,M,homemaker,136.03,28,10000.00,100.00
0,F,farmer,1250.09,22,10000.00,100.00
0,F,craftsman,4030.33,38,10000.00,100.00
0,F,farmer,2260.95,41,10000.00,100.00
0,F,craftsman,2897.14,27,10000.00,100.00
0,M,child,0.00,16,10000.00,100.00
0,F,fisher,2658.82,54,10000.00,100.00
0,M,child,0.00,12,10000.00,100.00
0,M,service provider,3230.83,25,10000.00,100.00
0,M,unemployed,161.93,31,10000.00,100.00
0,F,child,0.00,15,10000.00,100.00
0,F,civil servant,4889.89,37,10000.00,100.00
0,M,fisher,2002.00,37,10000.00,100.00
0,M,civil servant,7330.19,64,10000.00,100.00
0,M,service provider,2826.86,19,10000.00,100.00
0,M,farmer,3146.90,63,10000.00,100.00
0,F,civil servant,5497.84,42,10000.00,100.00
0,F,child,0.00,17,10000.00,100.00
0,M,service provider,4631.45,36,10000.00,100.00
0,M,civil servant,5614.75,44,10000.00,100.00
0,F,fisher,2557.52,48,10000.00,100.00
0,F,child,0.00,3,10000.00,100.00
0,M,craftsman,3936.15,39,10000.00,100.00
0,F,homemaker,152.82,32,10000.00,100.00
0,F,fisher,2872.01,58,10000.00,100.00
0,F,homemaker,97.40,18,10000.00,100.00
0,M,fisher,2733.19,51,10000.00,100.00
0,M,service provider,4868.83,39,10000.00,100.00
0,M,unemployed,121.66,22,10000.00,100.00
0,M,craftsman,4085.40,41,10000.00,100.00
0,M,unemployed,198.57,40,10000.00,100.00
0,F,homemaker,203.05,44,10000.00,100.00
0,M,craftsman,4826.93,46,10000.00,100.00
0,M,farmer,2273.24,42,10000.00,100.00
0,F,unemployed,253.21,54,10000.00,100.00
0,M,craftsman,4258.82,40,10000.00,100.00
0,F,civil servant,6711.98,58,10000.00,100.00
0,F,unemployed,200.86,42,10000.00,100.00
0,M,fisher,1234.04,20,10000.00,100.00
0,F,service provider,3647.30,28,10000.00,100.00
0,M,service provider,4828.62,37,10000.00,100.00
0,F,homemaker,233.57,47,10000.00,100.00
0,F,child,0.00,5,10000.00,100.00
0,M,unemployed,103.18,19,10000.00,100.00
0,M,unemployed,233.89,48,10000.00,100.00
0,M,child,0.00,11,10000.00,100.00
0,F,child,0.00,8,10000.00,100.00
0,F,farmer,1806.57,35,10000.00,100.00
0,M,homemaker,284.88,63,10000.00,100.00
0,M,fisher,1940.01,34,10000.00,100.00
0,F,unemployed,274.21,59,10000.00,100.00
0,M,unemployed,245.35,53,10000.00,100.00
0,F,child,0.00,16,10000.00,100.00
0,F,farmer,2859.10,53,10000.00,100.00
0,X,craftsman,3239.47,31,10000.00,100.00
0,F,unemployed,249.08,52,10000.00,100.00
0,F,unemployed,231.32,48,10000.00,100.00
0,F,unemployed,112.17,22,10000.00,100.00
0,F,child,0.00,7,10000.00,100.00
0,F,homemaker,290.64,62,10000.00,100.00
0,F,child,0.00,9,10000.00,100.00
0,F,fisher,3253.75,62,10000.00,100.00
0,F,service provider,6836.26,55,10000.00,100.00
0,F,fisher,2354.73,47,10000.00,100.00
0,F,unemployed,281.41,63,10000.00,100.00
0,M,fisher,3226.46,62,10000.00,100.00
0,M,unemployed,247.96,52,10000.00,100.00
0,M,service provider,3228.76,23,10000.00,100.00
0,F,craftsman,4956.38,51,10000.00,100.00
0,F,child,0.00,0,10000.00,100.00
0,F,unemployed,161.47,34,10000.00,100.00
0,F,homemaker,139.54,29,10000.00,100.00
0,M,craftsman,4250.94,43,10000.00,100.00
0,M,farmer,2238.41,43,10000.00,100.00
0,M,farmer,1943.56,37,10000.00,100.00
0,M,farmer,2637.67,53,10000.00,100.00
0,M,craftsman,5756.78,61,10000.00,100.00
0,F,child,0.00,7,10000.00,100.00
0,M,child,0.00,15,10000.00,100.00
0,M,child,0.00,1,10000.00,100.00
0,F,farmer,2910.57,57,10000.00,100.00
0,F,farmer,1953.19,36,10000.00,100.00
0,M,homemaker,271.94,59,10000.00,100.00
0,M,child,0.00,14,10000.00,100.00
0,F,child,0.00,4,10000.00,100.00
0,M,homemaker,237.14,53,10000.00,100.00
0,M,service provider,7031.92,59,10000.00,100.00
0,M,homemaker,100.01,19,10000.00,100.00
0,F,farmer,1488.92,26,10000.00,100.00
0,F,child,0.00,9,10000.00,100.00
0,F,homemaker,278.01,61,10000.00,100.00
0,F,homemaker,103.06,19,10000.00,100.00
0,F,homemaker,156.25,32,10000.00,100.00
0,M,child,0.00,6,10000.00,100.00
0,M,service provider,6837.31,57,10000.00,100.00
0,M,child,0.00,8,10000.00,100.00
0,F,fisher,1547.83,29,10000.00,100.00
0,F,civil servant,5581.21,43,10000.00,100.00
0,F,farmer,2605.73,48,10000.00,100.00
0,M,farmer,3261.61,61,10000.00,100.00
0,F,farmer,1532.22,27,10000.00,100.00
0,F,farmer,2421.51,48,10000.00,100.00
0,F,child,0.00,10,10000.00,100.00
0,M,craftsman,2781.32,26,10000.00,100.00
0,M,child,0.00,6,10000.00,100.00
0,M,craftsman,3143.90,31,10000.00,100.00
0,M,homemaker,131.38,26,10000.00,100.00
0,M,unemployed,282.78,61,10000.00,100.00
0,F,child,0.00,2,10000.00,100.00
0,M,farmer,1320.54,24,10000.00,100.00
0,M,homemaker,141.62,28,10000.00,100.00
0,M,fisher,3088.21,61,10000.00,100.00
0,M,civil servant,6683.06,55,10000.00,100.00
1,F,civil servant,5216.41,41,12334.28,101.15
1,M,child,0.00,2,10000.00,100.00
1,M,unemployed,127.68,26,9579.84,90.00
1,M,farmer,1944.61,37,10698.38,100.19
1,F,child,0.00,2,10000.00,100.00
1,F,civil servant,5109.86,42,12281.01,101.13
1,F,child,0.00,9,10000.00,100.00
1,M,homemaker,158.99,31,9611.15,100.00
1,M,child,0.00,4,10000.00,100.00
1,M,fisher,1452.89,25,10452.52,99.85
1,M,child,0.00,14,10000.00,100.00
1,F,fisher,1337.72,22,10394.94,99.74
1,M,homemaker,226.41,50,9678.57,100.00
1,M,farmer,1416.51,25,10434.33,99.82
1,F,craftsman,4641.21,49,12046.68,101.05
1,F,service provider,6505.28,55,12978.72,101.34
1,M,child,0.00,17,10000.00,100.00
1,F,child,0.00,6,10000.00,100.00
1,F,child,0.00,2,10000.00,100.00
1,M,civil servant,4593.95,36,12023.05,101.04
1,F,retired,285.80,65,9737.96,100.00
1,F,unemployed,117.62,23,9569.78,90.00
1,M,craftsman,4399.00,43,11925.58,101.00
1,M,homemaker,241.51,51,9693.67,100.00
1,F,service provider,5215.95,43,12334.05,101.15
1,M,service provider,6195.24,50,12823.70,101.30
1,M,farmer,3257.34,62,11354.75,100.72
1,M,child,0.00,13,10000.00,100.00
1,F,child,0.00,2,10000.00,100.00
1,F,child,0.00,10,10000.00,100.00
1,F,child,0.00,9,10000.00,100.00
1,F,civil servant,5206.33,44,12329.24,101.15
1,F,farmer,2050.20,37,10751.18,100.25
1,X,child,0.00,15,10000.00,100.00
1,M,fisher,2458.40,46,10955.28,100.44
1,F,homemaker,232.40,50,9684.56,100.00
1,F,child,0.00,11,10000.00,100.00
1,F,craftsman,3925.88,40,11689.02,100.89
1,F,farmer,2667.70,49,11059.93,100.52
1,F,child,0.00,8,10000.00,100.00
1,F,service provider,6475.41,54,12963.78,101.34
1,M,farmer,3075.80,63,11263.98,100.66
1,M,child,0.00,8,10000.00,100.00
1,M,child,0.00,2,10000.00,100.00
1,M,craftsman,2272.58,21,10862.37,100.36
1,M,craftsman,4669.58,45,12060.87,101.05
1,M,unemployed,294.51,63,9746.67,90.00
1,M,farmer,1519.75,26,10485.95,99.91
1,F,unemployed,228.54,47,9680.70,90.00
1,M,child,0.00,5,10000.00,100.00
1,M,craftsman,4529.11,45,11990.63,101.02
1,M,farmer,2279.57,41,10865.86,100.36
1,M,child,0.00,7,10000.00,100.00
1,F,homemaker,237.51,51,9689.67,100.00
1,F,craftsman,5524.34,56,12488.25,101.20
1,F,homemaker,199.99,40,9652.15,100.00
1,M,child,0.00,8,10000.00,100.00
1,F,craftsman,6284.25,64,12868.20,101.31
1,M,fisher,2740.34,51,11096.25,100.55
1,M,civil servant,3177.58,23,11314.87,100.69
1,X,homemaker,145.47,28,9597.63,100.00
1,F,farmer,1362.82,25,10407.49,99.77
1,F,farmer,1753.09,33,10602.62,100.08
1,F,fisher,1305.95,23,10379.05,99.71
1,F,service provider,6518.34,56,12985.25,101.34
1,F,homemaker,246.43,54,9698.59,100.00
1,M,child,0.00,7,10000.00,100.00
1,M,homemaker,279.86,63,9732.02,100.00
1,M,homemaker,197.64,42,9649.80,100.00
1,M,unemployed,256.63,54,9708.79,90.00
1,M,civil servant,5620.86,46,12536.51,101.22
1,F,homemaker,144.90,29,9597.06,100.00
1,F,service provider,5747.20,48,12599.68,101.23
1,M,fisher,3131.67,63,11291.91,100.68
1,F,unemployed,101.48,18,9553.64,90.00
1,M,craftsman,5284.71,53,12368.43,101.16
1,F,farmer,1833.40,35,10642.78,100.13
1,M,homemaker,163.23,32,9615.39,100.00
1,M,fisher,1560.54,29,10506.35,99.94
1,M,service provider,5847.80,48,12649.98,101.25
1,F,unemployed,101.40,18,9553.56,90.00
1,M,farmer,2895.12,56,11173.64,100.60
1,F,homemaker,257.87,54,9710.03,100.00
1,F,child,0.00,6,10000.00,100.00
1,M,service provider,7266.40,58,13359.28,101.44
1,M,child,0.00,16,10000.00,100.00
1,X,civil servant,4149.75,31,11800.95,100.94
1,F,fisher,2072.08,40,10762.12,100.26
1,M,farmer,1360.86,25,10406.51,99.77
1,M,child,0.00,2,10000.00,100.00
1,M,unemployed,256.87,56,9709.03,90.00
1,F,child,0.00,12,10000.00,100.00
1,F,child,0.00,14,10000.00,100.00
1,M,homemaker,239.00,52,9691.16,100.00
1,M,service provider,3062.06,23,11257.11,100.66
