year,sex,profession,income,age,ethnicity,net_worth,happiness
0,F,child,0.00,7,arcadian,10000.00,100.00
0,M,farmer,1760.69,34,arcadian,10000.00,100.00
0,M,homemaker,227.24,49,atlantean,10000.00,100.00
0,M,child,0.00,12,hyperborean,10000.00,100.00
0,F,child,0.00,14,hyperborean,10000.00,100.00
0,F,farmer,1738.15,31,atlantean,10000.00,100.00
0,F,unemployed,224.40,47,atlantean,10000.00,100.00
0,M,homemaker,292.42,63,arcadian,10000.00,100.00
0,M,homemaker,173.52,34,atlantean,10000.00,100.00
0,F,fisher,1072.23,18,atlantean,10000.00,100.00
0,F,child,0.00,6,atlantean,10000.00,100.00
0,M,child,0.00,12,hyperborean,10000.00,100.00
0,F,child,0.00,14,arcadian,10000.00,100.00
0,M,child,0.00,11,arcadian,10000.00,100.00
0,F,child,0.00,0,atlantean,10000.00,100.00
0,F,civil servant,4302.98,34,arcadian,10000.00,100.00
0,M,child,0.00,17,atlantean,10000.00,100.00
0,M,service provider,7408.69,63,arcadian,10000.00,100.00
0,F,fisher,1978.67,35,atlantean,10000.00,100.00
0,M,farmer,2417.02,45,arcadian,10000.00,100.00
0,F,child,0.00,8,atlantean,10000.00,100.00
0,M,service provider,6540.82,56,arcadian,10000.00,100.00
0,M,service provider,4163.27,31,arcadian,10000.00,100.00
0,F,farmer,2855.48,56,hyperborean,10000.00,100.00
0,F,unemployed,185.66,37,arcadian,10000.00,100.00
0,M,fisher,1725.47,30,atlantean,10000.00,100.00
0,M,civil servant,3526.86,28,atlantean,10000.00,100.00
0,X,child,0.00,11,atlantean,10000.00,100.00
0,F,child,0.00,3,arcadian,10000.00,100.00
0,M,homemaker,274.66,61,arcadian,10000.00,100.00
0,F,civil servant,3877.13,31,atlantean,10000.00,100.00
0,M,homemaker,237.33,53,arcadian,10000.00,100.00
0,M,service provider,3519.19,26,arcadian,10000.00,100.00
0,M,child,0.00,4,arcadian,10000.00,100.00
0,F,homemaker,197.55,40,atlantean,10000.00,100.00
0,M,child,0.00,3,hyperborean,10000.00,100.00
0,M,child,0.00,9,atlantean,10000.00,100.00
0,M,fisher,1854.88,36,arcadian,10000.00,100.00
0,F,fisher,1174.39,19,atlantean,10000.00,100.00
0,M,civil servant,7614.21,64,arcadian,10000.00,100.00
0,F,child,0.00,7,arcadian,10000.00,100.00
0,F,service provider,5869.60,49,arcadian,10000.00,100.00
0,M,civil servant,4784.20,39,atlantean,10000.00,100.00
0,M,homemaker,249.17,51,arcadian,10000.00,100.00
0,F,child,0.00,14,arcadian,10000.00,100.00
0,M,craftsman,3287.82,33,atlantean,10000.00,100.00
0,M,civil servant,3818.51,29,atlantean,10000.00,100.00
0,F,craftsman,2930.53,28,atlantean,10000.00,100.00
0,F,civil servant,6904.99,55,atlantean,10000.00,100.00
0,M,fisher,3328.51,64,atlantean,10000.00,100.00
0,F,unemployed,102.37,19,atlantean,10000.00,100.00
0,F,craftsman,4105.77,40,atlantean,10000.00,100.00
0,M,homemaker,192.63,39,arcadian,10000.00,100.00
0,M,civil servant,5813.00,48,atlantean,10000.00,100.00
0,M,farmer,3051.06,61,arcadian,10000.00,100.00
0,M,child,0.00,13,arcadian,10000.00,100.00
0,M,child,0.00,13,arcadian,10000.00,100.00
0,F,fisher,2144.09,42,hyperborean,10000.00,100.00
0,F,child,0.00,10,hyperborean,10000.00,100.00
0,X,child,0.00,11,atlantean,10000.00,100.00
0,M,child,0.00,4,hyperborean,10000.00,100.00
0,M,child,0.00,0,atlantean,10000.00,100.00
0,M,fisher,1640.77,29,atlantean,10000.00,100.00
0,F,craftsman,3778.80,38,hyperborean,10000.00,100.00
0,M,craftsman,2058.11,18,hyperborean,10000.00,100.00
0,M,child,0.00,15,arcadian,10000.00,100.00
0,M,farmer,2260.05,45,arcadian,10000.00,100.00
0,M,civil servant,5837.83,45,arcadian,10000.00,100.00
0,M,farmer,1676.21,29,arcadian,10000.00,100.00
0,M,homemaker,219.31,44,atlantean,10000.00,100.00
0,F,homemaker,282.24,60,atlantean,10000.00,100.00
0,M,homemaker,238.68,51,atlantean,10000.00,100.00
0,F,unemployed,193.53,40,hyperborean,10000.00,100.00
0,F,farmer,2328.41,42,arcadian,10000.00,100.00
0,M,craftsman,6111.66,60,hyperborean,10000.00,100.00
0,X,service provider,3657.36,27,hyperborean,10000.00,100.00
0,F,farmer,1949.93,35,atlantean,10000.00,100.00
0,X,craftsman,4167.74,42,hyperborean,10000.00,100.00
0,F,fisher,2993.89,59,atlantean,10000.00,100.00
0,F,farmer,2642.24,53,arcadian,10000.00,100.00
0,M,child,0.00,4,arcadian,10000.00,100.00
0,F,child,0.00,10,arcadian,10000.00,100.00
0,M,fisher,1132.64,19,atlantean,10000.00,100.00
0,M,fisher,2567.97,48,atlantean,10000.00,100.00
0,M,farmer,1937.41,36,atlantean,10000.00,100.00
0,M,civil servant,2690.83,18,atlantean,10000.00,100.00
0,X,child,0.00,8,arcadian,10000.00,100.00
0,M,fisher,2270.85,44,atlantean,10000.00,100.00
0,F,homemaker,219.35,45,arcadian,10000.00,100.00
0,M,farmer,3207.95,61,hyperborean,10000.00,100.00
0,M,farmer,1828.12,32,atlantean,10000.00,100.00
0,F,service provider,4174.82,32,arcadian,10000.00,100.00
0,X,child,0.00,5,hyperborean,10000.00,100.00
0,F,child,0.00,2,hyperborean,10000.00,100.00
0,F,farmer,1641.44,28,atlantean,10000.00,100.00
0,M,homemaker,109.13,20,atlantean,10000.00,100.00
0,M,child,0.00,16,atlantean,10000.00,100.00
0,X,child,0.00,5,arcadian,10000.00,100.00
0,F,craftsman,5811.20,62,hyperborean,10000.00,100.00
0,F,service provider,6413.70,54,arcadian,10000.00,100.00
0,F,craftsman,3685.20,37,atlantean,10000.00,100.00
0,M,craftsman,6029.73,61,hyperborean,10000.00,100.00
0,F,fisher,3390.55,64,arcadian,10000.00,100.00
0,F,unemployed,213.55,43,hyperborean,10000.00,100.00
0,F,child,0.00,17,hyperborean,10000.00,100.00
0,M,child,0.00,2,arcadian,10000.00,100.00
0,X,service provider,5784.05,49,hyperborean,10000.00,100.00
0,M,unemployed,154.46,30,arcadian,10000.00,100.00
0,M,farmer,2154.59,42,arcadian,10000.00,100.00
0,F,farmer,2949.24,59,arcadian,10000.00,100.00
0,F,child,0.00,11,hyperborean,10000.00,100.00
0,M,fisher,2071.53,38,arcadian,10000.00,100.00
0,M,craftsman,4198.09,41,atlantean,10000.00,100.00
0,F,homemaker,161.12,31,atlantean,10000.00,100.00
0,M,child,0.00,5,arcadian,10000.00,100.00
0,F,civil servant,2947.68,22,atlantean,10000.00,100.00
0,F,craftsman,2430.06,21,atlantean,10000.00,100.00
0,M,service provider,5486.32,43,atlantean,10000.00,100.00
0,F,homemaker,258.96,55,arcadian,10000.00,100.00
0,F,craftsman,2363.21,21,atlantean,10000.00,100.00
0,F,homemaker,222.83,45,arcadian,10000.00,100.00
0,M,homemaker,98.33,18,atlantean,10000.00,100.00
0,F,homemaker,295.91,61,hyperborean,10000.00,100.00
0,M,farmer,2561.04,52,atlantean,10000.00,100.00
0,M,craftsman,3777.36,35,hyperborean,10000.00,100.00
0,F,service provider,3993.40,29,hyperborean,10000.00,100.00
0,M,farmer,1147.94,20,arcadian,10000.00,100.00
0,M,service provider,3078.39,21,arcadian,10000.00,100.00
0,F,fisher,3199.62,63,arcadian,10000.00,100.00
0,M,service provider,3395.40,26,arcadian,10000.00,100.00
0,M,homemaker,165.54,33,hyperborean,10000.00,100.00
0,X,craftsman,6027.12,64,hyperborean,10000.00,100.00
0,X,unemployed,210.52,42,arcadian,10000.00,100.00
0,M,civil servant,4504.19,35,hyperborean,10000.00,100.00
0,M,farmer,1515.09,26,arcadian,10000.00,100.00
0,M,child,0.00,12,atlantean,10000.00,100.00
0,F,unemployed,119.83,23,arcadian,10000.00,100.00
0,F,farmer,2559.65,49,atlantean,10000.00,100.00
0,F,homemaker,190.89,40,atlantean,10000.00,100.00
0,M,farmer,2490.24,49,atlantean,10000.00,100.00
0,M,child,0.00,13,hyperborean,10000.00,100.00
0,F,unemployed,172.56,35,atlantean,10000.00,100.00
0,F,homemaker,278.65,60,arcadian,10000.00,100.00
0,F,farmer,1505.14,28,arcadian,10000.00,100.00
0,X,service provider,5856.16,45,atlantean,10000.00,100.00
0,F,child,0.00,7,atlantean,10000.00,100.00
0,M,service provider,7555.60,63,arcadian,10000.00,100.00
0,F,fisher,2153.74,39,arcadian,10000.00,100.00
0,M,child,0.00,15,arcadian,10000.00,100.00
0,F,child,0.00,10,atlantean,10000.00,100.00
0,F,farmer,1974.29,35,arcadian,10000.00,100.00
0,M,farmer,1871.23,35,atlantean,10000.00,100.00
0,M,child,0.00,6,arcadian,10000.00,100.00
0,M,craftsman,6157.18,64,atlantean,10000.00,100.00
0,F,craftsman,5799.87,59,arcadian,10000.00,100.00
0,M,civil servant,3710.63,29,hyperborean,10000.00,100.00
0,F,child,0.00,7,arcadian,10000.00,100.00
0,F,service provider,6349.89,54,atlantean,10000.00,100.00
0,M,farmer,1713.33,32,atlantean,10000.00,100.00
0,F,civil servant,5945.59,46,arcadian,10000.00,100.00
0,M,fisher,1816.39,33,atlantean,10000.00,100.00
0,F,child,0.00,17,arcadian,10000.00,100.00
0,F,unemployed,251.10,54,arcadian,10000.00,100.00
0,F,homemaker,281.36,63,hyperborean,10000.00,100.00
0,M,child,0.00,15,hyperborean,10000.00,100.00
0,M,fisher,1863.49,35,atlantean,10000.00,100.00
0,M,farmer,1364.26,24,arcadian,10000.00,100.00
0,M,homemaker,283.62,59,atlantean,10000.00,100.00
0,F,service provider,4259.28,33,atlantean,10000.00,100.00
0,F,homemaker,270.07,57,hyperborean,10000.00,100.00
0,M,farmer,2931.94,56,arcadian,10000.00,100.00
0,F,child,0.00,17,arcadian,10000.00,100.00
0,F,homemaker,234.59,51,arcadian,10000.00,100.00
0,M,craftsman,2905.42,26,hyperborean,10000.00,100.00
0,M,civil servant,7584.88,60,atlantean,10000.00,100.00
0,M,unemployed,166.15,33,arcadian,10000.00,100.00
0,F,service provider,6466.25,53,hyperborean,10000.00,100.00
0,F,homemaker,96.68,18,hyperborean,10000.00,100.00
0,F,homemaker,107.33,19,arcadian,10000.00,100.00
0,F,civil servant,4653.59,38,hyperborean,10000.00,100.00
0,F,fisher,3324.86,64,arcadian,10000.00,100.00
0,M,craftsman,3257.89,31,arcadian,10000.00,100.00
0,M,child,0.00,9,arcadian,10000.00,100.00
0,M,unemployed,179.53,35,arcadian,10000.00,100.00
0,F,homemaker,117.51,22,arcadian,10000.00,100.00
0,F,homemaker,174.78,35,arcadian,10000.00,100.00
0,F,service provider,4283.13,35,arcadian,10000.00,100.00
0,F,homemaker,139.96,29,atlantean,10000.00,100.00
0,M,service provider,2919.09,20,atlantean,10000.00,100.00
0,M,child,0.00,12,hyperborean,10000.00,100.00
0,M,farmer,2469.06,45,arcadian,10000.00,100.00
0,F,civil servant,4781.22,37,atlantean,10000.00,100.00
0,F,child,0.00,15,atlantean,10000.00,100.00
0,M,civil servant,6302.74,50,atlantean,10000.00,100.00
0,F,child,0.00,2,hyperborean,10000.00,100.00
0,M,homemaker,225.67,48,atlantean,10000.00,100.00
0,F,farmer,2444.80,45,hyperborean,10000.00,100.00
0,F,civil servant,6190.85,52,hyperborean,10000.00,100.00
0,X,fisher,1457.24,25,hyperborean,10000.00,100.00
0,F,unemployed,196.25,43,atlantean,10000.00,100.00
0,F,fisher,2739.87,53,atlantean,10000.00,100.00
0,M,fisher,3165.73,63,hyperborean,10000.00,100.00
0,F,farmer,1776.00,32,atlantean,10000.00,100.00
0,M,child,0.00,2,arcadian,10000.00,100.00
0,F,fisher,1784.59,32,atlantean,10000.00,100.00
0,F,civil servant,4868.84,38,hyperborean,10000.00,100.00
0,F,craftsman,5486.51,56,hyperborean,10000.00,100.00
0,F,homemaker,261.38,56,hyperborean,10000.00,100.00
0,M,unemployed,135.52,28,atlantean,10000.00,100.00
0,F,homemaker,168.95,34,arcadian,10000.00,100.00
0,M,homemaker,139.64,29,arcadian,10000.00,100.00
0,F,fisher,2417.73,46,arcadian,10000.00,100.00
0,F,fisher,1441.25,26,atlantean,10000.00,100.00
0,M,farmer,2329.57,42,arcadian,10000.00,100.00
0,F,child,0.00,10,atlantean,10000.00,100.00
0,M,farmer,1581.47,30,arcadian,10000.00,100.00
0,M,civil servant,7701.95,62,arcadian,10000.00,100.00
0,F,service provider,3095.50,22,arcadian,10000.00,100.00
0,M,farmer,2436.20,45,atlantean,10000.00,100.00
0,M,farmer,2314.51,42,hyperborean,10000.00,100.00
0,M,unemployed,247.33,55,arcadian,10000.00,100.00
0,M,craftsman,5188.13,55,hyperborean,10000.00,100.00
0,F,farmer,2732.49,55,arcadian,10000.00,100.00
0,X,homemaker,121.66,24,hyperborean,10000.00,100.00
0,M,homemaker,108.80,20,hyperborean,10000.00,100.00
0,F,civil servant,5877.48,46,arcadian,10000.00,100.00
0,M,civil servant,5889.49,49,atlantean,10000.00,100.00
0,X,civil servant,6734.10,56,arcadian,10000.00,100.00
0,F,child,0.00,2,arcadian,10000.00,100.00
0,F,child,0.00,4,hyperborean,10000.00,100.00
0,M,farmer,2148.96,41,hyperborean,10000.00,100.00
0,X,craftsman,5709.67,59,hyperborean,10000.00,100.00
0,M,service provider,7739.34,64,atlantean,10000.00,100.00
0,X,fisher,2627.02,48,atlantean,10000.00,100.00
0,M,unemployed,138.65,28,arcadian,10000.00,100.00
0,M,child,0.00,6,hyperborean,10000.00,100.00
0,M,farmer,2216.65,41,arcadian,10000.00,100.00
0,F,fisher,2978.86,56,atlantean,10000.00,100.00
0,M,craftsman,3039.64,28,hyperborean,10000.00,100.00
0,F,homemaker,222.59,45,hyperborean,10000.00,100.00
0,F,farmer,3049.50,58,atlantean,10000.00,100.00
0,M,child,0.00,2,hyperborean,10000.00,100.00
0,F,farmer,2537.17,51,atlantean,10000.00,100.00
0,M,unemployed,103.00,19,hyperborean,10000.00,100.00
0,F,homemaker,126.19,24,atlantean,10000.00,100.00
0,M,child,0.00,9,arcadian,10000.00,100.00
0,F,craftsman,3373.11,34,hyperborean,10000.00,100.00
0,F,fisher,1847.26,36,atlantean,10000.00,100.00
0,F,civil servant,6045.64,51,arcadian,10000.00,100.00
0,F,child,0.00,11,atlantean,10000.00,100.00
0,F,child,0.00,5,atlantean,10000.00,100.00
0,M,farmer,2878.68,56,atlantean,10000.00,100.00
0,M,unemployed,192.34,40,arcadian,10000.00,100.00
0,F,child,0.00,15,atlantean,10000.00,100.00
0,M,homemaker,282.27,59,hyperborean,10000.00,100.00
0,M,child,0.00,9,arcadian,10000.00,100.00
0,F,unemployed,147.78,29,atlantean,10000.00,100.00
0,F,child,0.00,16,hyperborean,10000.00,100.00
0,M,child,0.00,16,hyperborean,10000.00,100.00
0,M,child,0.00,0,arcadian,10000.00,100.00
0,M,homemaker,253.44,52,hyperborean,10000.00,100.00
0,M,fisher,2852.07,58,atlantean,10000.00,100.00
0,M,fisher,2323.55,44,atlantean,10000.00,100.00
0,M,child,0.00,10,hyperborean,10000.00,100.00
0,M,homemaker,136.03,28,arcadian,10000.00,100.00
0,F,farmer,1250.09,22,atlantean,10000.00,100.00
0,F,craftsman,4030.33,38,arcadian,10000.00,100.00
0,F,farmer,2260.95,41,arcadian,10000.00,100.00
0,F,craftsman,2897.14,27,atlantean,10000.00,100.00
0,M,child,0.00,16,atlantean,10000.00,100.00
0,F,fisher,2658.82,54,atlantean,10000.00,100.00
0,M,child,0.00,12,hyperborean,10000.00,100.00
0,M,service provider,3230.83,25,arcadian,10000.00,100.00
0,M,unemployed,161.93,31,arcadian,10000.00,100.00
0,F,child,0.00,15,arcadian,10000.00,100.00
0,F,civil servant,4889.89,37,atlantean,10000.00,100.00
0,M,fisher,2002.00,37,atlantean,10000.00,100.00
0,M,civil servant,7330.19,64,atlantean,10000.00,100.00
0,M,service provider,2826.86,19,atlantean,10000.00,100.00
0,M,farmer,3146.90,63,arcadian,10000.00,100.00
0,F,civil servant,5497.84,42,hyperborean,10000.00,100.00
0,F,child,0.00,17,arcadian,10000.00,100.00
0,M,service provider,4631.45,36,atlantean,10000.00,100.00
0,M,civil servant,5614.75,44,hyperborean,10000.00,100.00
0,F,fisher,2557.52,48,arcadian,10000.00,100.00
0,F,child,0.00,3,atlantean,10000.00,100.00
0,M,craftsman,3936.15,39,arcadian,10000.00,100.00
0,F,homemaker,152.82,32,atlantean,10000.00,100.00
0,F,fisher,2872.01,58,atlantean,10000.00,100.00
0,F,homemaker,97.40,18,arcadian,10000.00,100.00
0,M,fisher,2733.19,51,arcadian,10000.00,100.00
0,M,service provider,4868.83,39,atlantean,10000.00,100.00
0,M,unemployed,121.66,22,arcadian,10000.00,100.00
0,M,craftsman,4085.40,41,arcadian,10000.00,100.00
0,M,unemployed,198.57,40,atlantean,10000.00,100.00
0,F,homemaker,203.05,44,hyperborean,10000.00,100.00
0,M,craftsman,4826.93,46,atlantean,10000.00,100.00
0,M,farmer,2273.24,42,arcadian,10000.00,100.00
0,F,unemployed,253.21,54,arcadian,10000.00,100.00
0,M,craftsman,4258.82,40,hyperborean,10000.00,100.00
0,F,civil servant,6711.98,58,arcadian,10000.00,100.00
0,F,unemployed,200.86,42,arcadian,10000.00,100.00
0,M,fisher,1234.04,20,arcadian,10000.00,100.00
0,F,service provider,3647.30,28,arcadian,10000.00,100.00
0,M,service provider,4828.62,37,hyperborean,10000.00,100.00
0,F,homemaker,233.57,47,atlantean,10000.00,100.00
0,F,child,0.00,5,atlantean,10000.00,100.00
0,M,unemployed,103.18,19,hyperborean,10000.00,100.00
0,M,unemployed,233.89,48,atlantean,10000.00,100.00
0,M,child,0.00,11,arcadian,10000.00,100.00
0,F,child,0.00,8,arcadian,10000.00,100.00
0,F,farmer,1806.57,35,hyperborean,10000.00,100.00
0,M,homemaker,284.88,63,arcadian,10000.00,100.00
0,M,fisher,1940.01,34,atlantean,10000.00,100.00
0,F,unemployed,274.21,59,atlantean,10000.00,100.00
0,M,unemployed,245.35,53,arcadian,10000.00,100.00
0,F,child,0.00,16,hyperborean,10000.00,100.00
0,F,farmer,2859.10,53,atlantean,10000.00,100.00
0,X,craftsman,3239.47,31,hyperborean,10000.00,100.00
0,F,unemployed,249.08,52,arcadian,10000.00,100.00
0,F,unemployed,231.32,48,arcadian,10000.00,100.00
0,F,unemployed,112.17,22,arcadian,10000.00,100.00
0,F,child,0.00,7,hyperborean,10000.00,100.00
0,F,homemaker,290.64,62,atlantean,10000.00,100.00
0,F,child,0.00,9,hyperborean,10000.00,100.00
0,F,fisher,3253.75,62,arcadian,10000.00,100.00
0,F,service provider,6836.26,55,atlantean,10000.00,100.00
0,F,fisher,2354.73,47,atlantean,10000.00,100.00
0,F,unemployed,281.41,63,atlantean,10000.00,100.00
0,M,fisher,3226.46,62,atlantean,10000.00,100.00
0,M,unemployed,247.96,52,hyperborean,10000.00,100.00
0,M,service provider,3228.76,23,arcadian,10000.00,100.00
0,F,craftsman,4956.38,51,hyperborean,10000.00,100.00
0,F,child,0.00,0,arcadian,10000.00,100.00
0,F,unemployed,161.47,34,atlantean,10000.00,100.00
0,F,homemaker,139.54,29,hyperborean,10000.00,100.00
0,M,craftsman,4250.94,43,atlantean,10000.00,100.00
0,M,farmer,2238.41,43,arcadian,10000.00,100.00
0,M,farmer,1943.56,37,hyperborean,10000.00,100.00
0,M,farmer,2637.67,53,hyperborean,10000.00,100.00
0,M,craftsman,5756.78,61,atlantean,10000.00,100.00
0,F,child,0.00,7,atlantean,10000.00,100.00
0,M,child,0.00,15,arcadian,10000.00,100.00
0,M,child,0.00,1,hyperborean,10000.00,100.00
0,F,farmer,2910.57,57,arcadian,10000.00,100.00
0,F,farmer,1953.19,36,hyperborean,10000.00,100.00
0,M,homemaker,271.94,59,arcadian,10000.00,100.00
0,M,child,0.00,14,hyperborean,10000.00,100.00
0,F,child,0.00,4,arcadian,10000.00,100.00
0,M,homemaker,237.14,53,arcadian,10000.00,100.00
0,M,service provider,7031.92,59,hyperborean,10000.00,100.00
0,M,homemaker,100.01,19,arcadian,10000.00,100.00
0,F,farmer,1488.92,26,hyperborean,10000.00,100.00
0,F,child,0.00,9,arcadian,10000.00,100.00
0,F,homemaker,278.01,61,atlantean,10000.00,100.00
0,F,homemaker,103.06,19,arcadian,10000.00,100.00
0,F,homemaker,156.25,32,hyperborean,10000.00,100.00
0,M,child,0.00,6,arcadian,10000.00,100.00
0,M,service provider,6837.31,57,atlantean,10000.00,100.00
0,M,child,0.00,8,atlantean,10000.00,100.00
0,F,fisher,1547.83,29,arcadian,10000.00,100.00
0,F,civil servant,5581.21,43,atlantean,10000.00,100.00
0,F,farmer,2605.73,48,arcadian,10000.00,100.00
