year,sex,profession,income
0,F,service provider,5869.60
0,M,civil servant,4784.20
0,M,homemaker,249.17
0,F,child,0.00
0,M,craftsman,3287.82
0,M,civil servant,3818.51
0,F,craftsman,2930.53
0,F,civil servant,6904.99
0,M,fisher,3328.51
0,F,unemployed,102.37
0,F,craftsman,4105.77
0,M,homemaker,192.63
0,M,civil servant,5813.00
0,M,farmer,3051.06
0,M,child,0.00
0,M,child,0.00
0,F,fisher,2144.09
0,F,child,0.00
0,X,child,0.00
0,M,child,0.00
0,M,child,0.00
0,M,fisher,1640.77
0,F,craftsman,3778.80
0,M,craftsman,2058.11
0,M,child,0.00
0,M,farmer,2260.05
0,M,civil servant,5837.83
0,M,farmer,1676.21
0,M,homemaker,219.31
0,F,homemaker,282.24
0,M,homemaker,238.68
0,F,unemployed,193.53
0,F,farmer,2328.41
0,M,craftsman,6111.66
0,X,service provider,3657.36
0,F,farmer,1949.93
0,X,craftsman,4167.74
0,F,fisher,2993.89
0,F,farmer,2642.24
0,M,child,0.00
0,F,child,0.00
0,M,fisher,1132.64
0,M,fisher,2567.97
0,M,farmer,1937.41
0,M,civil servant,2690.83
0,X,child,0.00
0,M,fisher,2270.85
0,F,homemaker,219.35
0,M,farmer,3207.95
0,M,farmer,1828.12
0,F,service provider,4174.82
0,X,child,0.00
0,F,child,0.00
0,F,farmer,1641.44
0,M,homemaker,109.13
0,M,child,0.00
0,X,child,0.00
0,F,craftsman,5811.20
0,F,service provider,6413.70
0,F,craftsman,3685.20
0,M,craftsman,6029.73
0,F,fisher,3390.55
0,F,unemployed,213.55
0,F,child,0.00
0,M,child,0.00
0,X,service provider,5784.05
0,M,unemployed,154.46
0,M,farmer,2154.59
0,F,farmer,2949.24
0,F,child,0.00
0,M,fisher,2071.53
0,M,craftsman,4198.09
0,F,homemaker,161.12
0,M,child,0.00
0,F,civil servant,2947.68
0,F,craftsman,2430.06
0,M,service provider,5486.32
0,F,homemaker,258.96
0,F,craftsman,2363.21
0,F,homemaker,222.83
0,M,homemaker,98.33
0,F,homemaker,295.91
0,M,farmer,2561.04
0,M,craftsman,3777.36
0,F,service provider,3993.40
0,M,farmer,1147.94
0,M,service provider,3078.39
0,F,fisher,3199.62
0,M,service provider,3395.40
0,M,homemaker,165.54
0,X,craftsman,6027.12
0,X,unemployed,210.52
0,M,civil servant,4504.19
0,M,farmer,1515.09
0,M,child,0.00
0,F,unemployed,119.83
0,F,farmer,2559.65
0,F,homemaker,190.89
0,M,farmer,2490.24
0,M,child,0.00
0,F,unemployed,172.56
0,F,homemaker,278.65
0,F,farmer,1505.14
0,X,service provider,5856.16
0,F,child,0.00
0,M,service provider,7555.60
0,F,fisher,2153.74
0,M,child,0.00
0,F,child,0.00
0,F,farmer,1974.29
0,M,farmer,1871.23
0,M,child,0.00
0,M,craftsman,6157.18
0,F,craftsman,5799.87
0,M,civil servant,3710.63
0,F,child,0.00
0,F,service provider,6349.89
0,M,farmer,1713.33
0,F,civil servant,5945.59
0,M,fisher,1816.39
0,F,child,0.00
0,F,unemployed,251.10
0,F,homemaker,281.36
0,M,child,0.00
0,M,fisher,1863.49
0,M,farmer,1364.26
0,M,homemaker,283.62
0,F,service provider,4259.28
0,F,homemaker,270.07
0,M,farmer,2931.94
0,F,child,0.00
0,F,homemaker,234.59
0,M,craftsman,2905.42
0,M,civil servant,7584.88
0,M,unemployed,166.15
0,F,service provider,6466.25
0,F,homemaker,96.68
0,F,homemaker,107.33
0,F,civil servant,4653.59
0,F,fisher,3324.86
0,M,craftsman,3257.89
0,M,child,0.00
0,M,unemployed,179.53
0,F,homemaker,117.51
0,F,homemaker,174.78
0,F,service provider,4283.13
0,F,homemaker,139.96
0,M,service provider,2919.09
0,M,child,0.00
0,M,farmer,2469.06
0,F,civil servant,4781.22
0,F,child,0.00
0,M,civil servant,6302.74
0,F,child,0.00
0,M,homemaker,225.67
0,F,farmer,2444.80
0,F,civil servant,6190.85
0,X,fisher,1457.24
0,F,unemployed,196.25
0,F,fisher,2739.87
0,M,fisher,3165.73
0,F,farmer,1776.00
0,M,child,0.00
0,F,fisher,1784.59
0,F,civil servant,4868.84
0,F,craftsman,5486.51
0,F,homemaker,261.38
0,M,unemployed,135.52
0,F,homemaker,168.95
0,M,homemaker,139.64
0,F,fisher,2417.73
0,F,fisher,1441.25
0,M,farmer,2329.57
0,F,child,0.00
0,M,farmer,1581.47
0,M,civil servant,7701.95
0,F,service provider,3095.50
0,M,farmer,2436.20
0,M,farmer,2314.51
0,M,unemployed,247.33
0,M,craftsman,5188.13
0,F,farmer,2732.49
0,X,homemaker,121.66
0,M,homemaker,108.80
0,F,civil servant,5877.48
0,M,civil servant,5889.49
0,X,civil servant,6734.10
0,F,child,0.00
0,F,child,0.00
0,M,farmer,2148.96
0,X,craftsman,5709.67
0,M,service provider,7739.34
0,X,fisher,2627.02
0,M,unemployed,138.65
0,M,child,0.00
0,M,farmer,2216.65
0,F,fisher,2978.86
0,M,craftsman,3039.64
0,F,homemaker,222.59
0,F,farmer,3049.50
0,M,child,0.00
0,F,farmer,2537.17
0,M,unemployed,103.00
0,F,homemaker,126.19
0,M,child,0.00
0,F,craftsman,3373.11
0,F,fisher,1847.26
0,F,civil servant,6045.64
0,F,child,0.00
0,F,child,0.00
0,M,farmer,2878.68
0,M,unemployed,192.34
0,F,child,0.00
0,M,homemaker,282.27
0,M,child,0.00
0,F,unemployed,147.78
0,F,child,0.00
0,M,child,0.00
0,M,child,0.00
0,M,homemaker,253.44
0,M,fisher,2852.07
0,M,fisher,2323.55
0,M,child,0.00
0,M,homemaker,136.03
0,F,farmer,1250.09
0,F,craftsman,4030.33
0,F,farmer,2260.95
0,F,craftsman,2897.14
0,M,child,0.00
0,F,fisher,2658.82
0,M,child,0.00
0,M,service provider,3230.83
0,M,unemployed,161.93
0,F,child,0.00
0,F,civil servant,4889.89
0,M,fisher,2002.00
0,M,civil servant,7330.19
0,M,service provider,2826.86
0,M,farmer,3146.90
0,F,civil servant,5497.84
0,F,child,0.00
0,M,service provider,4631.45
0,M,civil servant,5614.75
0,F,fisher,2557.52
0,F,child,0.00
0,M,craftsman,3936.15
0,F,homemaker,152.82
0,F,fisher,2872.01
0,F,homemaker,97.40
0,M,fisher,2733.19
0,M,service provider,4868.83
0,M,unemployed,121.66
0,M,craftsman,4085.40
0,M,unemployed,198.57
0,F,homemaker,203.05
0,M,craftsman,4826.93
0,M,farmer,2273.24
0,F,unemployed,253.21
0,M,craftsman,4258.82
0,F,civil servant,6711.98
0,F,unemployed,200.86
0,M,fisher,1234.04
0,F,service provider,3647.30
0,M,service provider,4828.62
0,F,homemaker,233.57
0,F,child,0.00
0,M,unemployed,103.18
0,M,unemployed,233.89
0,M,child,0.00
0,F,child,0.00
0,F,farmer,1806.57
0,M,homemaker,284.88
0,M,fisher,1940.01
0,F,unemployed,274.21
0,M,unemployed,245.35
0,F,child,0.00
0,F,farmer,2859.10
0,X,craftsman,3239.47
0,F,unemployed,249.08
0,F,unemployed,231.32
0,F,unemployed,112.17
0,F,child,0.00
0,F,homemaker,290.64
0,F,child,0.00
0,F,fisher,3253.75
0,F,service provider,6836.26
0,F,fisher,2354.73
0,F,unemployed,281.41
0,M,fisher,3226.46
0,M,unemployed,247.96
0,M,service provider,3228.76
0,F,craftsman,4956.38
0,F,child,0.00
0,F,unemployed,161.47
0,F,homemaker,139.54
0,M,craftsman,4250.94
0,M,farmer,2238.41
0,M,farmer,1943.56
0,M,farmer,2637.67
0,M,craftsman,5756.78
0,F,child,0.00
0,M,child,0.00
0,M,child,0.00
0,F,farmer,2910.57
0,F,farmer,1953.19
0,M,homemaker,271.94
0,M,child,0.00
0,F,child,0.00
0,M,homemaker,237.14
0,M,service provider,7031.92
0,M,homemaker,100.01
0,F,farmer,1488.92
0,F,child,0.00
0,F,homemaker,278.01
0,F,homemaker,103.06
0,F,homemaker,156.25
0,M,child,0.00
0,M,service provider,6837.31
0,M,child,0.00
0,F,fisher,1547.83
0,F,civil servant,5581.21
0,F,farmer,2605.73
0,M,farmer,3261.61
0,F,farmer,1532.22
0,F,farmer,2421.51
0,F,child,0.00
0,M,craftsman,2781.32
0,M,child,0.00
0,M,craftsman,3143.90
0,M,homemaker,131.38
0,M,unemployed,282.78
0,F,child,0.00
0,M,farmer,1320.54
0,M,homemaker,141.62
0,M,fisher,3088.21
0,M,civil servant,6683.06
1,F,civil servant,5216.41
1,M,child,0.00
1,M,unemployed,127.68
1,M,farmer,1944.61
1,F,child,0.00
1,F,civil servant,5109.86
1,F,child,0.00
1,M,homemaker,158.99
1,M,child,0.00
1,M,fisher,1452.89
1,M,child,0.00
1,F,fisher,1337.72
1,M,homemaker,226.41
1,M,farmer,1416.51
1,F,craftsman,4641.21
1,F,service provider,6505.28
1,M,child,0.00
1,F,child,0.00
1,F,child,0.00
1,M,civil servant,4593.95
1,F,retired,285.80
1,F,unemployed,117.62
1,M,craftsman,4399.00
1,M,homemaker,241.51
1,F,service provider,5215.95
1,M,service provider,6195.24
1,M,farmer,3257.34
1,M,child,0.00
1,F,child,0.00
1,F,child,0.00
1,F,child,0.00
1,F,civil servant,5206.33
1,F,farmer,2050.20
1,X,child,0.00
1,M,fisher,2458.40
1,F,homemaker,232.40
1,F,child,0.00
1,F,craftsman,3925.88
1,F,farmer,2667.70
1,F,child,0.00
1,F,service provider,6475.41
1,M,farmer,3075.80
1,M,child,0.00
1,M,child,0.00
1,M,craftsman,2272.58
1,M,craftsman,4669.58
1,M,unemployed,294.51
1,M,farmer,1519.75
1,F,unemployed,228.54
1,M,child,0.00
1,M,craftsman,4529.11
1,M,farmer,2279.57
1,M,child,0.00
1,F,homemaker,237.51
1,F,craftsman,5524.34
1,F,homemaker,199.99
1,M,child,0.00
1,F,craftsman,6284.25
1,M,fisher,2740.34
1,M,civil servant,3177.58
1,X,homemaker,145.47
1,F,farmer,1362.82
1,F,farmer,1753.09
1,F,fisher,1305.95
1,F,service provider,6518.34
1,F,homemaker,246.43
1,M,child,0.00
1,M,homemaker,279.86
1,M,homemaker,197.64
1,M,unemployed,256.63
1,M,civil servant,5620.86
1,F,homemaker,144.90
1,F,service provider,5747.20
1,M,fisher,3131.67
1,F,unemployed,101.48
1,M,craftsman,5284.71
1,F,farmer,1833.40
1,M,homemaker,163.23
1,M,fisher,1560.54
1,M,service provider,5847.80
1,F,unemployed,101.40
1,M,farmer,2895.12
1,F,homemaker,257.87
1,F,child,0.00
1,M,service provider,7266.40
1,M,child,0.00
1,X,civil servant,4149.75
1,F,fisher,2072.08
1,M,farmer,1360.86
1,M,child,0.00
1,M,unemployed,256.87
1,F,child,0.00
1,F,child,0.00
1,M,homemaker,239.00
1,M,service provider,3062.06
1,M,homemaker,282.18
1,X,homemaker,227.40
1,F,farmer,1117.10
1,X,child,0.00
1,F,fisher,3126.60
1,M,child,0.00
1,F,unemployed,232.67
1,F,civil servant,4131.86
1,F,craftsman,4842.97
1,M,civil servant,5445.67
1,F,craftsman,4270.73
1,M,homemaker,155.79
1,M,homemaker,246.75
1,M,child,0.00
1,F,child,0.00
1,F,civil servant,5809.51
1,M,fisher,1181.61
1,F,unemployed,179.91
1,M,craftsman,3423.98
1,F,unemployed,172.50
1,F,fisher,1503.94
1,M,farmer,2435.53
1,F,farmer,1236.99
1,F,farmer,2441.36
1,M,homemaker,99.22
1,F,child,0.00
1,F,child,0.00
1,F,child,0.00
1,F,child,0.00
1,M,farmer,1813.00
1,M,homemaker,233.37
1,M,child,0.00
1,F,child,0.00
1,F,farmer,1842.40
1,F,unemployed,228.32
1,M,homemaker,309.68
1,M,homemaker,178.56
1,F,fisher,1090.78
1,F,child,0.00
1,M,child,0.00
1,F,child,0.00
1,M,child,0.00
1,F,child,0.00
1,F,civil servant,4579.75
1,M,civil servant,2609.61
1,M,service provider,7510.07
1,F,fisher,1969.94
1,M,farmer,2317.00
1,F,child,0.00
1,M,service provider,6869.78
1,M,service provider,4129.74
1,F,farmer,3058.30
1,F,unemployed,192.06
1,M,fisher,1668.09
1,M,civil servant,3817.24
1,X,child,0.00
1,F,child,0.00
1,M,homemaker,278.00
1,F,civil servant,4320.13
1,M,homemaker,262.57
1,M,service provider,3523.27
1,M,child,0.00
1,F,homemaker,200.62
1,M,child,0.00
1,M,child,0.00
1,M,fisher,2011.04
1,F,fisher,1152.18
1,M,retired,307.88
1,F,child,0.00
1,F,service provider,6164.61
1,M,civil servant,5174.30
1,M,homemaker,245.42
1,F,child,0.00
1,M,craftsman,3353.50
1,M,civil servant,3858.59
1,F,craftsman,2934.83
1,F,civil servant,7096.22
1,M,retired,311.36
1,F,unemployed,112.11
1,F,craftsman,4075.34
1,M,homemaker,185.06
1,M,civil servant,6257.72
1,M,farmer,3300.79
1,M,child,0.00
1,M,child,0.00
1,F,fisher,2176.15
1,F,child,0.00
1,X,child,0.00
1,M,child,0.00
1,M,child,0.00
1,M,fisher,1659.37
1,F,craftsman,3805.29
1,M,craftsman,2246.42
1,M,child,0.00
1,M,farmer,2474.72
1,M,civil servant,5486.13
1,M,farmer,1657.59
1,M,homemaker,215.96
1,F,homemaker,276.33
1,M,homemaker,253.79
1,F,unemployed,196.35
1,F,farmer,2204.78
1,M,craftsman,5965.91
1,X,service provider,3791.60
1,F,farmer,1884.50
1,X,craftsman,4252.44
1,F,fisher,3217.77
1,F,farmer,2826.85
1,M,child,0.00
1,F,child,0.00
1,M,fisher,1186.23
1,M,fisher,2555.55
1,M,farmer,1913.97
1,M,civil servant,2636.01
1,X,child,0.00
1,M,fisher,2325.56
1,F,homemaker,221.08
1,M,farmer,3074.30
1,M,farmer,1751.71
1,F,service provider,4076.84
1,X,child,0.00
1,F,child,0.00
1,F,farmer,1636.07
1,M,homemaker,109.71
1,M,child,0.00
1,X,child,0.00
1,F,craftsman,6369.45
1,F,service provider,6934.34
1,F,craftsman,3720.42
1,M,craftsman,5873.88
1,F,retired,305.07
1,F,unemployed,204.62
1,F,farmer,1147.91
1,M,child,0.00
1,X,service provider,6184.05
1,M,unemployed,154.89
1,M,farmer,2334.83
1,F,farmer,3160.23
1,F,child,0.00
1,M,fisher,2018.49
1,M,craftsman,4073.59
1,F,homemaker,158.47
1,M,child,0.00
1,F,civil servant,3129.09
1,F,craftsman,2449.34
1,M,service provider,5602.05
1,F,homemaker,266.24
1,F,craftsman,2576.43
1,F,homemaker,210.35
1,M,homemaker,103.24
1,F,homemaker,282.62
1,M,farmer,2837.33
1,M,craftsman,3615.30
1,F,service provider,3805.98
1,M,farmer,1234.05
1,M,service provider,3018.79
1,F,fisher,3181.15
1,M,service provider,3505.78
1,M,homemaker,175.20
1,X,retired,298.29
1,X,unemployed,213.84
1,M,civil servant,4614.60
1,M,farmer,1452.91
1,M,child,0.00
1,F,unemployed,131.80
1,F,farmer,2685.17
1,F,homemaker,207.15
1,M,farmer,2708.64
1,M,child,0.00
1,F,unemployed,182.75
1,F,homemaker,273.54
1,F,farmer,1612.57
1,X,service provider,5534.77
1,F,child,0.00
1,M,service provider,7613.27
1,F,fisher,2035.79
1,M,child,0.00
1,F,child,0.00
1,F,farmer,1919.04
1,M,farmer,2036.83
1,M,child,0.00
1,M,retired,292.96
1,F,craftsman,6019.46
1,M,civil servant,3909.99
1,F,child,0.00
1,F,service provider,6642.08
1,M,farmer,1884.54
1,F,civil servant,6096.28
1,M,fisher,1859.25
1,F,homemaker,96.55
1,F,unemployed,252.21
1,F,homemaker,309.61
1,M,child,0.00
1,M,fisher,1957.93
1,M,farmer,1433.68
1,M,homemaker,285.64
1,F,service provider,4176.68
1,F,homemaker,272.49
1,M,farmer,2926.37
1,F,homemaker,96.57
1,F,homemaker,255.96
1,M,craftsman,2782.31
1,M,civil servant,7126.29
1,M,unemployed,169.68
1,F,service provider,6698.32
1,F,homemaker,101.49
1,F,homemaker,104.39
1,F,civil servant,5115.56
1,F,retired,292.39
1,M,craftsman,3382.74
1,M,child,0.00
1,M,unemployed,178.70
1,F,homemaker,120.30
1,F,homemaker,178.07
1,F,service provider,4601.95
1,F,homemaker,157.63
1,M,service provider,2845.21
1,M,child,0.00
1,M,farmer,2462.75
1,F,civil servant,4687.00
1,F,child,0.00
1,M,civil servant,6185.92
1,F,child,0.00
1,M,homemaker,235.90
1,F,farmer,2362.42
1,F,civil servant,6353.36
1,X,fisher,1511.60
1,F,unemployed,201.63
1,F,fisher,2773.49
1,M,fisher,3415.35
1,F,farmer,1891.53
1,M,child,0.00
1,F,fisher,1725.22
1,F,civil servant,4782.18
1,F,craftsman,5453.97
1,F,homemaker,277.48
1,M,unemployed,152.40
1,F,homemaker,178.88
1,M,homemaker,149.09
1,F,fisher,2373.34
1,F,fisher,1572.05
1,M,farmer,2316.42
1,F,child,0.00
1,M,farmer,1727.59
1,M,civil servant,7947.98
1,F,service provider,3201.74
1,M,farmer,2291.99
1,M,farmer,2342.20
1,M,unemployed,256.45
1,M,craftsman,5585.54
1,F,farmer,3005.08
1,X,homemaker,125.04
1,M,homemaker,108.43
1,F,civil servant,5580.26
1,M,civil servant,6173.11
1,X,civil servant,6757.47
1,F,child,0.00
1,F,child,0.00
1,M,farmer,2246.71
1,X,craftsman,5980.56
1,M,retired,291.11
1,X,fisher,2585.31
1,M,unemployed,143.34
1,M,child,0.00
1,M,farmer,2220.85
1,F,fisher,3044.11
1,M,craftsman,3189.68
1,F,homemaker,210.21
1,F,farmer,2996.08
1,M,child,0.00
1,F,farmer,2631.38
1,M,unemployed,103.12
1,F,homemaker,133.31
1,M,child,0.00
1,F,craftsman,3668.77
1,F,fisher,1942.01
1,F,civil servant,6515.17
1,F,child,0.00
1,F,child,0.00
1,M,farmer,2940.65
1,M,unemployed,196.44
1,F,child,0.00
1,M,homemaker,265.06
1,M,child,0.00
1,F,unemployed,144.65
1,F,child,0.00
1,M,child,0.00
1,M,child,0.00
1,M,homemaker,258.47
1,M,fisher,3141.10
1,M,fisher,2374.61
1,M,child,0.00
1,M,homemaker,151.72
1,F,farmer,1345.05
1,F,craftsman,3836.66
1,F,farmer,2140.57
1,F,craftsman,2936.22
1,M,child,0.00
1,F,fisher,2944.90
1,M,child,0.00
1,M,service provider,3588.31
1,M,unemployed,165.33
1,F,child,0.00
1,F,civil servant,5004.76
1,M,fisher,1977.14
1,M,retired,292.49
1,M,service provider,2709.21
1,M,farmer,3344.32
1,F,civil servant,5572.08
1,F,craftsman,2125.34
1,M,service provider,4539.69
1,M,civil servant,5827.42
1,F,fisher,2644.08
1,F,child,0.00
1,M,craftsman,4259.58
1,F,homemaker,168.92
1,F,fisher,3134.30
1,F,homemaker,99.30
1,M,fisher,2755.16
1,M,service provider,4949.56
1,M,unemployed,126.50
1,M,craftsman,4372.97
1,M,unemployed,205.08
1,F,homemaker,221.57
1,M,craftsman,4582.09
1,M,farmer,2335.45
1,F,unemployed,247.36
1,M,craftsman,4309.97
1,F,civil servant,7392.07
1,F,unemployed,200.65
1,M,fisher,1279.70
1,F,service provider,3801.87
1,M,service provider,4719.01
1,F,homemaker,234.38
1,F,child,0.00
1,M,unemployed,105.55
1,M,unemployed,220.87
1,M,child,0.00
1,F,child,0.00
1,F,farmer,1882.94
1,M,homemaker,290.67
1,M,fisher,1964.82
1,F,unemployed,291.74
1,M,unemployed,247.60
1,F,child,0.00
1,F,farmer,2824.51
1,X,craftsman,3317.45
1,F,unemployed,260.91
1,F,unemployed,232.75
1,F,unemployed,126.60
1,F,child,0.00
1,F,homemaker,280.28
1,F,child,0.00
1,F,fisher,3357.21
1,F,service provider,6585.54
1,F,fisher,2620.09
1,F,unemployed,288.81
1,M,fisher,3080.82
1,M,unemployed,247.31
1,M,service provider,3338.42
1,F,craftsman,5042.56
1,F,child,0.00
1,F,unemployed,174.17
1,F,homemaker,151.24
1,M,craftsman,4372.62
1,M,farmer,2334.77
1,M,farmer,1986.23
1,M,farmer,2843.26
1,M,craftsman,5731.34
1,F,child,0.00
1,M,child,0.00
1,M,child,0.00
1,F,farmer,3098.84
1,F,farmer,1997.01
1,M,homemaker,284.84
1,M,child,0.00
1,F,child,0.00
1,M,homemaker,259.32
1,M,service provider,7370.46
1,M,homemaker,107.04
1,F,farmer,1455.86
1,F,child,0.00
1,F,homemaker,291.95
1,F,homemaker,106.67
1,F,homemaker,160.78
1,M,child,0.00
1,M,service provider,7270.03
1,M,child,0.00
1,F,fisher,1698.22
1,F,civil servant,5367.24
1,F,farmer,2502.41
1,M,farmer,3130.63
1,F,farmer,1552.78
1,F,farmer,2498.93
1,F,child,0.00
1,M,craftsman,2796.01
1,M,child,0.00
1,M,craftsman,3324.40
1,M,homemaker,144.39
1,M,unemployed,292.33
1,F,child,0.00
1,M,farmer,1485.17
1,M,homemaker,148.50
1,M,fisher,3096.68
1,M,civil servant,6836.87
1,M,child,0.00
1,M,child,0.00
1,M,child,0.00
1,F,child,0.00
1,F,child,0.00
1,M,child,0.00
2,F,civil servant,5082.34
2,M,child,0.00
2,M,unemployed,132.69
2,M,farmer,2076.34
2,F,child,0.00
2,F,civil servant,5323.82
2,F,child,0.00
2,M,homemaker,158.25
2,M,child,0.00
2,M,fisher,1517.72
2,M,child,0.00
2,F,fisher,1361.97
2,M,homemaker,226.29
2,M,farmer,1435.75
2,F,craftsman,4769.75
2,F,service provider,6706.60
2,M,craftsman,2173.44
2,F,child,0.00
2,F,child,0.00
2,M,civil servant,4536.29
2,F,retired,300.13
2,F,unemployed,116.46
2,M,craftsman,4551.62
2,M,homemaker,237.05
2,F,service provider,5384.29
2,M,service provider,6417.57
2,M,farmer,3085.38
2,M,child,0.00
2,F,child,0.00
2,F,child,0.00
2,F,child,0.00
2,F,civil servant,5778.76
2,F,farmer,2105.44
2,X,child,0.00
2,M,fisher,2381.27
2,F,homemaker,231.10
2,F,child,0.00
2,F,craftsman,4052.98
2,F,farmer,2743.02
2,F,child,0.00
2,F,service provider,6782.08
2,M,farmer,3142.57
2,M,child,0.00
2,M,child,0.00
2,M,craftsman,2405.65
2,M,craftsman,4809.17
2,M,unemployed,287.00
2,M,farmer,1574.05
2,F,unemployed,224.08
2,M,child,0.00
2,M,craftsman,4872.41
2,M,farmer,2262.30
2,M,child,0.00
2,F,homemaker,247.76
2,F,craftsman,5872.49
2,F,homemaker,193.14
2,M,child,0.00
2,F,retired,394.51
2,M,fisher,2719.61
2,M,civil servant,3388.77
2,X,homemaker,141.58
2,F,farmer,1538.71
2,F,farmer,1904.36
2,F,fisher,1382.10
2,F,service provider,6825.86
2,F,homemaker,243.38
2,M,child,0.00
2,M,homemaker,291.78
2,M,homemaker,204.45
2,M,unemployed,250.48
2,M,civil servant,5939.52
2,F,homemaker,141.71
2,F,service provider,5832.76
2,M,fisher,3220.87
2,F,unemployed,97.33
2,M,craftsman,5280.05
2,F,farmer,1961.75
2,M,homemaker,151.83
2,M,fisher,1624.49
2,M,service provider,6209.38
2,F,unemployed,101.66
2,M,farmer,2827.90
2,F,homemaker,247.67
2,F,child,0.00
2,M,service provider,7259.17
2,M,child,0.00
2,X,civil servant,4142.49
2,F,fisher,2127.42
2,M,farmer,1468.10
2,M,child,0.00
2,M,unemployed,268.67
2,F,child,0.00
2,F,child,0.00
2,M,homemaker,243.28
2,M,service provider,3343.73
2,M,homemaker,276.71
2,X,homemaker,221.99
2,F,farmer,1136.02
2,X,child,0.00
2,F,fisher,3083.68
2,M,child,0.00
2,F,unemployed,217.22
2,F,civil servant,4397.65
2,F,craftsman,5280.85
2,M,civil servant,6012.33
2,F,craftsman,4337.05
2,M,homemaker,161.30
2,M,homemaker,242.55
2,M,child,0.00
2,F,child,0.00
2,F,civil servant,5814.95
2,M,fisher,1209.23
2,F,unemployed,177.28
2,M,craftsman,3352.36
2,F,unemployed,161.96
2,F,fisher,1595.33
2,M,farmer,2667.10
2,F,farmer,1325.42
